,age,gender,city,position,experience,germany_experience,work_level,main_tech,other_tech,yearly_salary,vacation_days,emp_state,contract_duration,main_language,company_size,company_type,covid_lost,first_word
210,25,Male,Stuttgart,Backend Developer,7.0,1.0,Senior,PHP,"Python, PHP, Javascript / Typescript, SQL",60000.0,26.0,full-time,Unlimited contract,English,11-50,Startup,Yes,PHP
211,32,Male,Berlin,Software Engineer,12.0,1.5,Senior,iOS,"Swift, objective-c",66800.0,25.0,full-time,Unlimited contract,English,51-100,Product,No,iOS
212,65,Male,Berlin,Software Engineer,25.0,25.0,Senior,"Pascal, VB.NET, C#",".NET, SQL",55000.0,30.0,full-time,Unlimited contract,German,51-100,Product,No,Pascal
213,33,Male,Munich,Business Analyst,10.0,4.0,Senior,Java,SQL,70000.0,27.0,full-time,Unlimited contract,English,101-1000,Product,No,Java
214,34,Male,Berlin,ML Engineer,12.0,3.0,Senior,Python,"Python, SQL, Google Cloud, Kubernetes, Docker",90000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No,Python
215,28,Male,Berlin,Backend Developer,7.0,1.0,Senior,PHP,"Javascript / Typescript, .NET, SQL, Azure, Kubernetes, Docker",70000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No,PHP
216,39,Male,Munich,DBA,17.0,5.0,Senior,Oracle,SQL,64000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No,Oracle
217,30,Male,Berlin,Backend Developer,7.0,2.0,Senior,Ruby,"Javascript / Typescript, SQL, Go, AWS, Docker",72000.0,25.0,full-time,Unlimited contract,English,11-50,Product,No,Ruby
218,34,Male,Berlin,DevOps,12.0,2.0,Senior,Java,"Go, AWS, Kubernetes, Docker",70000.0,25.0,full-time,Unlimited contract,English,101-1000,Product,No,Java
219,35,Male,Berlin,Support Engineer,10.0,4.0,Senior,PHP,"SQL, AWS, Docker",63500.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No,PHP
220,35,Female,Berlin,Frontend Developer,12.0,5.0,Middle,Javascript ,"AWS, Docker",70000.0,29.0,full-time,Unlimited contract,English,101-1000,E-commerce,No,Javascript
221,34,Male,Berlin,Frontend Developer,10.0,3.0,Senior,"Angular, React","Python, Javascript / Typescript, Docker",68000.0,40.0,full-time,Unlimited contract,English,11-50,Startup,No,Angular
222,34,Male,Berlin,Software Engineer,12.0,2.0,Lead,.net,"Javascript / Typescript, .NET, SQL, Azure",78000.0,36.0,full-time,Unlimited contract,German,1000+,Product,No,nan
223,38,Male,Berlin,Software Engineer,13.0,6.0,Lead,Java,Kotlin,89570.0,30.0,full-time,Unlimited contract,English,1000+,Product,No,Java
224,34,Female,Berlin,Software Engineer,9.0,3.0,Senior,Kotlin,"Python, Kotlin, Java / Scala, Google Cloud, Kubernetes, Docker",78000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No,Kotlin
225,31,Male,Berlin,Mobile Developer,7.0,3.5,Senior,iOS,Swift,80000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No,iOS
226,34,Male,Berlin,Backend Developer,15.0,5.0,Senior,Elixir,"Javascript / Typescript, Ruby, SQL, Google Cloud, Kubernetes, Docker",70000.0,30.0,full-time,Unlimited contract,English,51-100,Product,No,Elixir
227,29,Female,Munich,Software Engineer,5.0,4.0,Middle,"NodeJS, Typescript, AWS","Javascript / Typescript, Java / Scala, AWS",67000.0,31.0,full-time,Unlimited contract,English,101-1000,Product,No,NodeJS
228,37,Male,Berlin,Software Engineer,15.0,3.0,Senior,Scala,"Python, Java / Scala, Docker",85000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No,Scala
229,44,Male,Stuttgart,Software Engineer,22.0,3.0,Senior,Erlang,"Python, SQL, Docker",76000.0,30.0,full-time,Unlimited contract,English,51-100,Startup,No,Erlang
230,30,Male,Munich,Frontend Developer,9.0,3.0,Middle,TypeScript,"Javascript / Typescript, Kubernetes",66000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No,TypeScript
231,26,Male,Frankfurt,Consultant,4.0,4.0,Middle,JavaScript,"Python, Javascript / Typescript",65000.0,30.0,full-time,Unlimited contract,German,101-1000,Consulting / Agency,No,JavaScript
232,46,Male,Berlin,Software Engineer,14.0,14.0,Senior,JavaScript,"PHP, Javascript / Typescript, SQL, Google Cloud, Docker",80000.0,30.0,full-time,Unlimited contract,English,51-100,Product,Yes,JavaScript
233,27,Male,Tuttlingen,Software Engineer,4.0,4.0,Junior,C#,.NET,46000.0,30.0,full-time,Unlimited contract,German,up to 10,Product,No,C
234,38,Male,Stuttgart,Software Engineer,15.0,8.0,Senior,C#,.NET,56400.0,30.0,full-time,Unlimited contract,English,11-50,Product,No,C
235,32,Male,Munich,Backend Developer,11.0,3.5,Senior,PHP,"PHP, Javascript / Typescript, Java / Scala, Docker",81200.0,30.0,full-time,Unlimited contract,English,1000+,Product,No,PHP
236,29,Male,Berlin,Software Engineer,12.0,3.0,Senior,Go,"PHP, Go",75000.0,27.0,full-time,Unlimited contract,English,101-1000,Product,No,Go
237,32,Male,Nürnberg,Testautomation,8.0,2.0,Senior,"Java, JS","Javascript / Typescript, Java / Scala",60000.0,30.0,full-time,Unlimited contract,German,101-1000,Consulting / Agency,Yes,Java
238,29,Male,Bonn,Mobile Developer,5.0,2.0,Middle,Objective-C,Swift,55000.0,24.0,full-time,Unlimited contract,English,11-50,Product,No,Objective
239,33,Male,Hamburg,Software Engineer,10.0,3.0,Senior,Ruby,Elixir,75000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No,Ruby
